小区,区域,商圈,在售,在租,建成时间,均价(元/平米),均价环比上月(%)
丁香园,徐汇,康健,136,93,1991,"
68301","
4.98%"
滨江小区,徐汇,徐汇滨江,133,5,1998,"
61395","
4.2%"
宛平88,徐汇,徐家汇,133,24,2015,"
100258","
1.62%"
中星海上华庭,徐汇,康健,133,91,2004,"
78637","
1.63%"
长顺坊,徐汇,康健,132,61,1994,"
77267","
3.77%"
康健星辰,徐汇,康健,132,121,2004,"
77973","
0.06%"
田林新苑,徐汇,田林,131,82,1994,"
66050","
4.78%"
长桥四村,徐汇,长桥,129,50,1988,"
65478","
7.60%"
田林十二村,徐汇,田林,129,198,1986,"
82025","
0.39%"
科苑新村,徐汇,康健,128,46,1990,"
62395","
1.21%"
虹桥乐庭,徐汇,徐家汇,127,48,2005,"
97148","
6.73%"
中信君廷,徐汇,徐家汇,127,83,2015,"
87052","
1.69%"
名人花苑,徐汇,华泾,126,65,1999,"
50229","
1.18%"
福源汇居,徐汇,万体馆,125,97,2006,"
96915","
1.74%"
汇贤居,徐汇,衡山路,125,174,2004,"
95487","
0.96%"
保利西岸,徐汇,龙华,124,151,2015,"
107020","
1.22%"
梅陇十一村,徐汇,华东理工,124,42,1995,"
56283","
2.64%"
徐汇公寓,徐汇,康健,124,14,2004,"
47337","
3.73%"
新家坡美树馆,徐汇,建国西路,124,100,1999,"
81827","
5.70%"
漕溪四村,徐汇,万体馆,123,108,1986,"
75348","
3.70%"
枫林新村,徐汇,斜土路,123,57,1986,"
76772","
1.74%"
日晖六村,徐汇,斜土路,123,189,1983,"
73667","
7.20%"
北科大厦,徐汇,徐家汇,122,27,2004,"
19175","
0.51%"
长兴坊,徐汇,康健,122,75,1990,"
75556","
8.35%"
虹梅小区,徐汇,漕河泾,122,15,1993,"
37480","
1.88%"
龙南五村,徐汇,徐汇滨江,121,10,1995,"
51367","
2.33%"
上缝小区,徐汇,龙华,121,163,1989,"
70504","
3.54%"
华利公寓,徐汇,田林,118,52,1997,"
65717","
9.45%"
梓树园,徐汇,康健,118,45,1997,"
69451","
2.12%"
华东花苑,徐汇,上海南站,117,55,1998,"
60075","
5.14%"
金龙花苑牡丹园,徐汇,龙华,116,5,1998,"
77280","
8.43%"
莲花大厦,徐汇,漕河泾,116,52,2004,"
17558","
2.57%"
康宁坊,徐汇,康健,115,64,1991,"
60917","
1.3%"
徐汇新城,徐汇,长桥,115,103,2007,"
64663","
0.15%"
嘉汇国际广场,徐汇,徐家汇,114,115,2006,"
35075","
15.8%"
海上名邸,徐汇,康健,113,128,2008,"
90433","
2.67%"
九弄小区,徐汇,康健,113,39,1982,"
68620","
3.30%"
南丹小区,徐汇,徐家汇,111,106,1992,"
98570","
1.47%"
玉兰园,徐汇,康健,111,94,1989,"
69607","
0.41%"
创世纪花园,徐汇,万体馆,110,106,1999,"
66552","
3.31%"
光华绿苑,徐汇,华泾,110,78,2003,"
51761","
0.09%"
金牛苑,徐汇,上海南站,110,101,2001,"
71078","
6.35%"
恒昌花园,徐汇,徐家汇,109,15,2001,"
58479","
0.74%"
金桂苑,徐汇,康健,108,49,1997,"
55751","
7.15%"
南天大楼,徐汇,徐家汇,108,82,1996,"
63059","
1.47%"
东安二村,徐汇,徐家汇,107,80,1998,"
60026","
3.46%"
绿地汇中心写字楼,徐汇,龙华,107,201,2014,"
43785","
1.19%"
瑞金南苑,徐汇,斜土路,106,15,2000,"
77579","
4.30%"
徐汇龙庭,徐汇,植物园,106,8,2003,"
49559","
0.24%"
东湾小区,徐汇,华泾,105,60,1992,"
47434","
0.94%"
新湖云庭,徐汇,斜土路,105,40,2005,"
62379","
1.82%"
紫荆园,徐汇,康健,104,16,1999,"
73119","
2.24%"
长桥五村,徐汇,长桥,102,55,1989,"
82862","
1.73%"
圣爱广场,徐汇,徐家汇,102,119,2000,"
22104","
2.41%"
汇成四村,徐汇,植物园,101,40,1994,"
62973","
16.36%"
明园小安桥,徐汇,万体馆,101,65,2005,"
89421","
0.59%"
太原邸,徐汇,衡山路,101,58,2008,"
104217","
0.79%"
徐汇晶典,徐汇,万体馆,101,26,2004,"
25774","
65.59%"
远雄徐汇园,徐汇,斜土路,101,277,2012,"
104732","
0.13%"
公安大楼(吴兴路),徐汇,建国西路,98,62,1994,"
93588","
1.36%"
日晖二村,徐汇,斜土路,98,59,1954,"
55333","
3.01%"
寿益坊,徐汇,康健,98,72,1995,"
72164","
2.70%"
